userid,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Z0,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,YAVG,ZAVG,XABSOLDEV,YABSOLDEV,ZABSOLDEV,XSTANDDEV,YSTANDDEV,ZSTANDDEV,RESULTANT,label
33,0.03,0.08,0.07,0.07,0.09,0.13,0.14,0.16,0.1,0.12,0.12,0.11,0.11,0.14,0.08,0.11,0.09,0.09,0.08,0.08,0.11,0.08,0.1,0.08,0.07,0.08,0.09,0.11,0.07,0.19,7.93,2.69,1.64,2.77,2.39,2.6,3.6,2.6,9.52,Downstairs
33,0.1,0.1,0.14,0.11,0.1,0.09,0.09,0.09,0.08,0.12,0.09,0.11,0.1,0.07,0.13,0.09,0.07,0.12,0.12,0.1,0.07,0.14,0.12,0.11,0.13,0.09,0.11,0.07,0.12,0.05,8.99,2.04,1.62,3.03,1.49,1.98,3.74,1.98,9.62,Downstairs
33,0.17,0.11,0.08,0.12,0.11,0.11,0.06,0.07,0.12,0.06,0.08,0.08,0.08,0.11,0.09,0.1,0.13,0.09,0.11,0.13,0.11,0.09,0.08,0.12,0.09,0.14,0.1,0.12,0.11,0.07,9.16,2.2,1.79,2.98,1.58,2.24,3.7,2.24,9.89,Downstairs
33,0.0,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.01,0.01,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.01,0.01,0.0,0.01,0.0,0.38,0.08,0.07,0.36,0.07,1.97,9.96,1.97,0.4,Downstairs
33,0.03,0.11,0.07,0.12,0.08,0.09,0.11,0.12,0.13,0.15,0.08,0.1,0.1,0.1,0.11,0.12,0.09,0.1,0.11,0.11,0.09,0.1,0.13,0.11,0.11,0.11,0.1,0.11,0.06,0.11,8.83,2.38,1.59,2.71,1.5,2.05,3.4,2.05,9.69,Upstairs
33,0.15,0.11,0.08,0.1,0.12,0.13,0.08,0.1,0.07,0.08,0.1,0.1,0.1,0.12,0.08,0.09,0.12,0.11,0.11,0.09,0.13,0.09,0.11,0.11,0.06,0.1,0.09,0.08,0.13,0.11,8.57,2.39,2.14,2.93,1.71,2.78,3.62,2.78,9.75,Upstairs
33,0.09,0.06,0.11,0.06,0.07,0.06,0.06,0.06,0.06,0.05,0.08,0.07,0.07,0.06,0.07,0.07,0.08,0.06,0.04,0.09,0.06,0.06,0.06,0.06,0.09,0.05,0.09,0.08,0.08,0.06,5.7,1.54,1.44,2.63,0.93,2.75,4.86,2.75,6.42,Upstairs
33,0.05,0.08,0.08,0.09,0.09,0.1,0.09,0.14,0.14,0.14,0.11,0.07,0.11,0.11,0.09,0.13,0.11,0.1,0.09,0.11,0.08,0.1,0.11,0.09,0.1,0.09,0.14,0.1,0.12,0.09,9.18,2.32,1.45,3.03,1.61,1.82,3.82,1.82,9.84,Downstairs
33,0.12,0.11,0.09,0.11,0.12,0.11,0.1,0.1,0.05,0.12,0.09,0.12,0.09,0.11,0.11,0.08,0.1,0.09,0.11,0.12,0.1,0.1,0.09,0.11,0.1,0.09,0.11,0.1,0.08,0.13,9.17,2.3,1.69,3.14,1.81,2.11,3.84,2.11,9.9,Downstairs
33,0.1,0.07,0.11,0.06,0.04,0.08,0.05,0.05,0.04,0.04,0.07,0.08,0.07,0.06,0.07,0.06,0.05,0.08,0.06,0.05,0.08,0.07,0.05,0.06,0.09,0.06,0.04,0.06,0.07,0.05,5.33,1.25,1.14,2.39,1.05,2.33,4.96,2.33,5.78,Downstairs
33,0.01,0.06,0.09,0.08,0.07,0.1,0.11,0.18,0.14,0.16,0.08,0.1,0.1,0.11,0.08,0.08,0.1,0.13,0.12,0.11,0.08,0.11,0.12,0.14,0.09,0.13,0.11,0.08,0.07,0.1,9.02,2.23,1.21,2.77,1.39,1.55,3.36,1.55,9.67,Upstairs
33,0.09,0.08,0.06,0.1,0.13,0.11,0.13,0.1,0.12,0.11,0.11,0.1,0.09,0.09,0.12,0.11,0.08,0.11,0.08,0.12,0.11,0.11,0.09,0.08,0.13,0.09,0.1,0.09,0.12,0.1,8.88,2.41,1.5,2.96,1.68,2.03,3.73,2.03,9.84,Upstairs
33,0.18,0.14,0.12,0.1,0.07,0.07,0.03,0.01,0.02,0.01,0.08,0.08,0.08,0.09,0.07,0.08,0.09,0.05,0.07,0.05,0.08,0.05,0.04,0.07,0.06,0.07,0.1,0.1,0.1,0.08,6.15,1.97,2.0,2.51,1.25,3.42,4.28,3.42,7.23,Upstairs
33,0.02,0.07,0.08,0.09,0.09,0.11,0.1,0.14,0.15,0.15,0.1,0.12,0.1,0.1,0.1,0.07,0.12,0.1,0.12,0.09,0.06,0.09,0.14,0.11,0.11,0.09,0.12,0.1,0.1,0.1,9.0,2.58,1.66,3.27,1.76,2.13,3.95,2.13,9.79,Downstairs
33,0.15,0.12,0.1,0.07,0.13,0.09,0.1,0.1,0.07,0.09,0.1,0.11,0.08,0.11,0.11,0.13,0.07,0.08,0.11,0.11,0.12,0.09,0.08,0.09,0.12,0.1,0.1,0.1,0.1,0.12,9.15,2.58,1.86,3.28,2.03,2.41,4.09,2.41,10.05,Downstairs
33,0.1,0.1,0.09,0.1,0.06,0.09,0.07,0.04,0.06,0.04,0.07,0.05,0.1,0.07,0.06,0.08,0.09,0.09,0.05,0.08,0.1,0.1,0.05,0.05,0.08,0.08,0.07,0.07,0.08,0.06,6.74,1.74,1.3,2.58,1.51,2.21,4.59,2.21,7.37,Downstairs
33,0.05,0.08,0.06,0.05,0.11,0.11,0.14,0.12,0.17,0.11,0.09,0.09,0.11,0.09,0.14,0.12,0.07,0.1,0.07,0.15,0.12,0.09,0.13,0.09,0.09,0.1,0.1,0.12,0.08,0.12,9.08,2.42,1.66,3.09,1.7,2.19,3.78,2.19,9.97,Upstairs
33,0.11,0.07,0.09,0.11,0.1,0.09,0.1,0.1,0.09,0.15,0.12,0.09,0.13,0.11,0.06,0.09,0.1,0.11,0.14,0.08,0.11,0.12,0.08,0.11,0.11,0.07,0.11,0.08,0.1,0.11,8.65,2.59,1.79,3.23,1.94,2.32,3.9,2.32,9.8,Upstairs
33,0.11,0.12,0.12,0.09,0.07,0.04,0.05,0.04,0.02,0.01,0.05,0.08,0.04,0.07,0.06,0.07,0.1,0.06,0.06,0.04,0.03,0.04,0.08,0.06,0.07,0.07,0.08,0.07,0.11,0.04,5.7,1.69,1.22,2.56,1.0,2.58,5.04,2.58,6.37,Upstairs
33,0.06,0.09,0.07,0.12,0.08,0.11,0.12,0.11,0.11,0.12,0.11,0.09,0.08,0.1,0.14,0.09,0.11,0.09,0.12,0.09,0.08,0.08,0.09,0.11,0.09,0.1,0.11,0.13,0.12,0.09,8.93,2.42,1.67,3.2,1.88,2.27,4.05,2.27,9.74,Downstairs
33,0.09,0.13,0.13,0.08,0.12,0.1,0.1,0.09,0.11,0.09,0.09,0.14,0.1,0.1,0.07,0.11,0.11,0.09,0.09,0.11,0.12,0.12,0.08,0.1,0.13,0.1,0.09,0.09,0.08,0.1,8.67,2.03,1.52,3.31,2.03,1.94,4.15,1.94,9.45,Downstairs
33,0.09,0.05,0.05,0.06,0.05,0.07,0.04,0.06,0.04,0.05,0.06,0.03,0.07,0.07,0.04,0.06,0.04,0.08,0.05,0.06,0.04,0.07,0.07,0.06,0.03,0.05,0.06,0.04,0.05,0.07,5.0,1.33,0.91,2.6,1.18,2.23,6.15,2.23,5.43,Downstairs
33,0.08,0.1,0.11,0.1,0.16,0.1,0.1,0.12,0.07,0.08,0.11,0.1,0.11,0.1,0.14,0.07,0.09,0.11,0.1,0.05,0.13,0.08,0.07,0.11,0.12,0.11,0.1,0.07,0.11,0.11,8.94,1.69,4.57,6.5,3.94,5.65,7.69,5.65,12.85,Jogging
33,0.12,0.09,0.11,0.08,0.08,0.09,0.11,0.1,0.11,0.11,0.09,0.09,0.1,0.07,0.12,0.11,0.1,0.09,0.13,0.06,0.07,0.12,0.14,0.1,0.08,0.09,0.12,0.12,0.1,0.07,10.02,1.52,5.7,6.37,3.73,6.82,7.58,6.82,13.93,Jogging
33,0.07,0.1,0.06,0.1,0.05,0.09,0.07,0.06,0.1,0.09,0.08,0.09,0.07,0.11,0.03,0.1,0.09,0.08,0.05,0.06,0.09,0.08,0.07,0.07,0.08,0.08,0.07,0.09,0.08,0.1,6.97,1.42,4.23,5.49,3.18,6.55,8.2,6.55,10.61,Jogging
33,0.08,0.08,0.09,0.09,0.1,0.13,0.08,0.15,0.12,0.08,0.09,0.14,0.09,0.08,0.12,0.09,0.09,0.09,0.1,0.12,0.1,0.06,0.13,0.1,0.13,0.09,0.09,0.11,0.11,0.08,9.59,0.21,2.55,4.17,2.27,3.04,5.02,3.04,10.68,Walking
33,0.11,0.09,0.13,0.1,0.1,0.07,0.09,0.1,0.11,0.11,0.12,0.06,0.07,0.13,0.11,0.1,0.12,0.13,0.09,0.08,0.09,0.13,0.1,0.13,0.09,0.12,0.08,0.08,0.09,0.12,9.64,0.21,2.64,3.86,2.41,3.12,4.69,3.12,10.86,Walking
33,0.1,0.11,0.08,0.1,0.1,0.1,0.1,0.05,0.06,0.11,0.08,0.09,0.13,0.08,0.07,0.09,0.09,0.08,0.1,0.1,0.08,0.13,0.05,0.06,0.07,0.08,0.12,0.1,0.1,0.09,8.49,0.53,2.29,3.78,2.28,3.09,4.96,3.09,9.67,Walking
33,0.06,0.08,0.12,0.15,0.2,0.1,0.08,0.11,0.06,0.06,0.08,0.09,0.14,0.1,0.1,0.13,0.09,0.09,0.1,0.03,0.13,0.06,0.09,0.1,0.08,0.11,0.14,0.12,0.08,0.11,9.7,0.69,4.6,6.35,3.72,5.88,7.73,5.88,13.26,Jogging
33,0.12,0.06,0.12,0.11,0.06,0.11,0.1,0.16,0.1,0.08,0.07,0.13,0.1,0.1,0.1,0.1,0.08,0.08,0.12,0.04,0.1,0.09,0.09,0.11,0.09,0.13,0.14,0.11,0.06,0.1,10.48,0.76,6.06,6.6,3.33,7.15,7.8,7.15,14.48,Jogging
33,0.13,0.1,0.08,0.08,0.09,0.11,0.07,0.12,0.16,0.07,0.1,0.12,0.09,0.13,0.07,0.08,0.1,0.08,0.13,0.03,0.1,0.11,0.1,0.1,0.12,0.13,0.09,0.1,0.08,0.1,10.04,0.72,6.24,6.73,3.36,7.32,7.9,7.32,14.28,Jogging
33,0.16,0.12,0.06,0.05,0.07,0.13,0.11,0.1,0.11,0.1,0.1,0.12,0.12,0.08,0.09,0.08,0.13,0.14,0.08,0.02,0.15,0.1,0.14,0.06,0.09,0.1,0.09,0.07,0.11,0.12,9.41,0.22,6.65,7.05,4.12,7.66,8.49,7.66,14.63,Jogging
33,0.09,0.12,0.11,0.12,0.08,0.1,0.09,0.1,0.08,0.13,0.09,0.11,0.11,0.1,0.08,0.12,0.09,0.11,0.12,0.02,0.11,0.11,0.08,0.07,0.11,0.09,0.09,0.16,0.1,0.11,10.18,0.96,6.03,6.45,3.43,7.3,7.63,7.3,14.18,Jogging
33,0.09,0.1,0.12,0.11,0.1,0.1,0.1,0.12,0.09,0.1,0.13,0.1,0.1,0.12,0.11,0.09,0.07,0.09,0.11,0.03,0.06,0.14,0.08,0.11,0.1,0.12,0.06,0.13,0.12,0.1,9.47,0.91,6.05,6.71,3.18,7.32,7.96,7.32,13.71,Jogging
33,0.09,0.12,0.1,0.09,0.09,0.07,0.12,0.07,0.12,0.15,0.09,0.1,0.09,0.08,0.09,0.11,0.12,0.15,0.09,0.01,0.11,0.09,0.12,0.12,0.09,0.08,0.07,0.11,0.15,0.08,10.45,0.68,6.54,6.46,3.44,7.87,7.85,7.87,14.85,Jogging
33,0.1,0.12,0.11,0.09,0.06,0.1,0.13,0.11,0.11,0.11,0.15,0.1,0.11,0.08,0.08,0.13,0.12,0.08,0.07,0.01,0.07,0.1,0.13,0.08,0.12,0.09,0.11,0.09,0.11,0.12,9.04,0.95,6.44,6.81,3.29,7.59,7.93,7.59,13.68,Jogging
33,0.08,0.09,0.08,0.11,0.19,0.08,0.12,0.06,0.08,0.11,0.11,0.05,0.05,0.11,0.17,0.11,0.11,0.1,0.1,0.02,0.08,0.11,0.11,0.16,0.13,0.06,0.1,0.06,0.11,0.07,9.81,0.44,5.29,5.65,3.09,6.91,7.54,6.91,13.49,Jogging
20,0.01,0.08,0.08,0.05,0.11,0.14,0.15,0.12,0.16,0.0,0.09,0.14,0.09,0.14,0.14,0.09,0.08,0.08,0.09,0.0,0.17,0.12,0.08,0.13,0.11,0.13,0.09,0.05,0.08,0.0,8.81,-1.06,5.82,3.16,2.74,7.0,3.94,7.0,11.65,Walking
20,0.02,0.07,0.09,0.03,0.1,0.17,0.09,0.07,0.17,0.0,0.13,0.15,0.1,0.11,0.16,0.07,0.06,0.07,0.1,0.0,0.14,0.1,0.15,0.13,0.11,0.06,0.06,0.1,0.07,0.0,8.45,-0.76,6.47,3.32,2.83,7.77,4.14,7.77,11.69,Walking
20,0.01,0.08,0.07,0.04,0.1,0.12,0.21,0.11,0.11,0.0,0.11,0.14,0.11,0.15,0.12,0.09,0.12,0.03,0.09,0.0,0.16,0.16,0.12,0.12,0.08,0.07,0.08,0.07,0.08,0.0,8.43,-1.03,6.26,3.0,3.0,7.46,3.73,7.46,11.68,Walking
20,0.03,0.09,0.08,0.03,0.06,0.12,0.17,0.12,0.11,0.0,0.07,0.21,0.12,0.15,0.13,0.06,0.08,0.04,0.12,0.0,0.16,0.11,0.16,0.11,0.08,0.12,0.06,0.06,0.08,0.0,8.48,-0.92,6.6,3.15,2.82,8.05,3.91,8.05,11.83,Walking
20,0.03,0.1,0.06,0.05,0.08,0.08,0.18,0.13,0.13,0.0,0.08,0.17,0.1,0.18,0.17,0.05,0.1,0.04,0.02,0.0,0.18,0.14,0.14,0.11,0.07,0.1,0.08,0.06,0.09,0.0,8.65,-1.28,6.31,3.13,2.76,7.49,4.03,7.49,11.89,Walking
20,0.01,0.11,0.04,0.07,0.07,0.1,0.14,0.13,0.2,0.0,0.11,0.22,0.11,0.14,0.11,0.07,0.07,0.05,0.05,0.0,0.15,0.11,0.12,0.06,0.1,0.16,0.08,0.08,0.09,0.0,8.16,-1.0,6.51,3.17,2.59,7.62,3.94,7.62,11.49,Walking
20,0.01,0.08,0.03,0.05,0.08,0.17,0.11,0.15,0.12,0.0,0.14,0.11,0.12,0.16,0.15,0.08,0.09,0.04,0.09,0.0,0.14,0.19,0.09,0.1,0.08,0.11,0.07,0.1,0.07,0.0,8.29,-1.02,6.87,2.99,2.8,8.15,3.82,8.15,11.87,Walking
20,0.0,0.09,0.08,0.03,0.01,0.11,0.17,0.18,0.14,0.0,0.13,0.18,0.14,0.13,0.14,0.05,0.07,0.05,0.09,0.0,0.12,0.17,0.1,0.14,0.08,0.08,0.09,0.1,0.08,0.0,8.09,-0.74,6.92,3.12,2.64,8.15,3.82,8.15,11.61,Walking
20,0.01,0.08,0.04,0.04,0.11,0.16,0.14,0.1,0.17,0.0,0.1,0.14,0.12,0.15,0.16,0.07,0.08,0.06,0.09,0.0,0.15,0.11,0.14,0.11,0.11,0.08,0.07,0.11,0.05,0.0,8.49,-1.02,6.47,2.99,2.62,7.61,3.73,7.61,11.7,Walking
20,0.14,0.1,0.15,0.11,0.12,0.08,0.11,0.07,0.07,0.0,0.12,0.07,0.13,0.11,0.07,0.11,0.08,0.13,0.08,0.0,0.13,0.09,0.04,0.05,0.11,0.1,0.11,0.16,0.13,0.0,9.72,0.31,4.29,3.76,2.9,5.6,4.53,5.6,11.64,Walking
20,0.16,0.11,0.2,0.07,0.09,0.08,0.09,0.08,0.07,0.0,0.1,0.09,0.08,0.09,0.07,0.09,0.15,0.14,0.12,0.0,0.14,0.05,0.09,0.13,0.09,0.07,0.09,0.08,0.15,0.0,9.96,0.14,4.22,3.44,3.31,5.62,4.2,5.62,11.91,Walking
20,0.15,0.11,0.11,0.18,0.1,0.07,0.08,0.08,0.07,0.0,0.1,0.09,0.12,0.08,0.05,0.09,0.14,0.1,0.11,0.0,0.09,0.1,0.07,0.11,0.1,0.09,0.14,0.11,0.07,0.0,10.02,0.27,4.36,3.8,2.98,5.77,4.51,5.77,11.93,Walking
20,0.16,0.08,0.12,0.11,0.13,0.09,0.08,0.11,0.09,0.0,0.11,0.08,0.09,0.08,0.09,0.11,0.09,0.17,0.08,0.0,0.1,0.08,0.1,0.09,0.08,0.13,0.1,0.08,0.16,0.0,9.8,0.36,4.59,3.62,3.02,5.92,4.47,5.92,11.85,Walking
20,0.12,0.13,0.12,0.15,0.13,0.09,0.05,0.07,0.1,0.0,0.09,0.12,0.05,0.07,0.09,0.12,0.1,0.14,0.09,0.0,0.07,0.13,0.08,0.13,0.09,0.05,0.15,0.13,0.08,0.0,10.12,0.14,4.29,3.63,2.86,5.72,4.43,5.72,11.95,Walking
20,0.13,0.13,0.09,0.14,0.12,0.11,0.07,0.06,0.1,0.0,0.09,0.12,0.08,0.1,0.08,0.11,0.11,0.09,0.11,0.0,0.1,0.08,0.05,0.14,0.13,0.09,0.11,0.14,0.08,0.0,9.92,0.17,4.45,3.63,2.75,5.83,4.36,5.83,11.78,Walking
20,0.15,0.1,0.14,0.1,0.07,0.12,0.09,0.1,0.08,0.0,0.08,0.09,0.1,0.11,0.08,0.08,0.17,0.08,0.14,0.0,0.1,0.07,0.12,0.08,0.09,0.11,0.11,0.09,0.15,0.0,9.95,0.2,4.44,3.44,2.96,5.73,4.17,5.73,11.87,Walking
20,0.11,0.13,0.14,0.11,0.08,0.08,0.06,0.14,0.09,0.0,0.1,0.06,0.09,0.09,0.12,0.1,0.1,0.11,0.13,0.0,0.06,0.12,0.07,0.11,0.1,0.12,0.14,0.11,0.11,0.0,9.92,0.32,4.49,3.42,2.72,5.77,4.17,5.77,11.8,Walking
20,0.14,0.11,0.13,0.13,0.07,0.1,0.09,0.1,0.07,0.0,0.08,0.09,0.1,0.08,0.08,0.13,0.1,0.11,0.14,0.0,0.09,0.08,0.1,0.11,0.07,0.13,0.12,0.09,0.13,0.0,10.06,0.29,4.45,3.38,2.87,5.77,4.13,5.77,11.94,Walking
20,0.12,0.11,0.12,0.09,0.13,0.07,0.08,0.09,0.12,0.0,0.11,0.06,0.08,0.13,0.11,0.11,0.08,0.14,0.11,0.0,0.06,0.07,0.1,0.07,0.14,0.12,0.11,0.12,0.1,0.0,9.71,0.57,4.79,3.39,2.88,6.12,4.16,6.12,11.78,Walking
20,0.14,0.1,0.14,0.1,0.11,0.09,0.08,0.13,0.07,0.0,0.07,0.09,0.09,0.08,0.12,0.14,0.1,0.14,0.11,0.0,0.05,0.11,0.07,0.12,0.1,0.15,0.07,0.11,0.14,0.0,9.92,0.28,4.39,3.11,2.74,5.64,3.86,5.64,11.72,Walking
20,0.12,0.13,0.1,0.13,0.11,0.11,0.04,0.11,0.1,0.0,0.09,0.07,0.09,0.1,0.07,0.13,0.12,0.12,0.12,0.0,0.06,0.09,0.09,0.12,0.13,0.12,0.09,0.1,0.11,0.0,10.06,0.41,4.57,3.34,2.94,5.85,4.13,5.85,11.98,Walking
20,0.12,0.09,0.13,0.14,0.09,0.12,0.06,0.1,0.07,0.0,0.1,0.08,0.11,0.09,0.07,0.13,0.1,0.06,0.19,0.0,0.09,0.09,0.1,0.11,0.08,0.07,0.13,0.12,0.1,0.0,9.92,0.29,4.59,3.58,2.89,5.9,4.35,5.9,11.92,Walking
20,0.13,0.09,0.1,0.16,0.1,0.1,0.08,0.11,0.08,0.0,0.11,0.08,0.08,0.11,0.06,0.16,0.11,0.1,0.13,0.0,0.07,0.06,0.11,0.11,0.1,0.12,0.12,0.12,0.1,0.0,9.85,0.32,4.53,3.43,2.76,5.79,4.25,5.79,11.74,Walking
20,0.15,0.09,0.1,0.15,0.11,0.08,0.12,0.08,0.08,0.0,0.1,0.07,0.1,0.08,0.09,0.15,0.1,0.13,0.09,0.0,0.06,0.09,0.09,0.12,0.14,0.1,0.12,0.11,0.11,0.0,9.87,0.22,4.41,3.33,2.7,5.64,4.14,5.64,11.68,Walking
20,0.09,0.12,0.15,0.12,0.11,0.09,0.08,0.1,0.09,0.0,0.1,0.05,0.15,0.05,0.09,0.14,0.1,0.1,0.12,0.0,0.06,0.1,0.1,0.1,0.08,0.11,0.14,0.13,0.1,0.0,9.86,0.27,4.35,3.49,2.68,5.69,4.29,5.69,11.69,Walking
20,0.12,0.13,0.09,0.12,0.15,0.07,0.08,0.11,0.08,0.0,0.09,0.05,0.12,0.07,0.12,0.1,0.1,0.16,0.12,0.0,0.06,0.1,0.11,0.07,0.13,0.14,0.09,0.12,0.09,0.0,10.0,0.14,4.57,3.33,2.75,5.85,4.03,5.85,11.87,Walking
20,0.15,0.11,0.09,0.12,0.1,0.09,0.09,0.1,0.09,0.0,0.12,0.09,0.1,0.08,0.08,0.1,0.1,0.13,0.11,0.0,0.09,0.09,0.1,0.11,0.12,0.09,0.07,0.12,0.12,0.0,9.8,0.25,4.73,3.67,3.03,5.95,4.43,5.95,11.88,Walking
20,0.15,0.1,0.06,0.14,0.14,0.09,0.08,0.11,0.08,0.0,0.1,0.06,0.12,0.07,0.11,0.09,0.11,0.13,0.09,0.0,0.08,0.11,0.09,0.11,0.08,0.14,0.09,0.13,0.06,0.0,9.98,0.18,4.68,3.54,2.9,5.98,4.29,5.98,11.95,Walking
20,0.13,0.12,0.1,0.09,0.11,0.1,0.11,0.13,0.08,0.0,0.1,0.1,0.1,0.06,0.08,0.13,0.11,0.15,0.1,0.0,0.06,0.09,0.09,0.09,0.18,0.1,0.07,0.1,0.14,0.0,9.77,0.21,4.66,3.44,2.8,5.88,4.16,5.88,11.7,Walking
20,0.14,0.1,0.08,0.12,0.16,0.13,0.05,0.08,0.08,0.0,0.08,0.09,0.09,0.07,0.1,0.14,0.1,0.16,0.09,0.0,0.08,0.1,0.11,0.07,0.13,0.07,0.12,0.13,0.11,0.0,9.91,0.18,4.47,3.29,2.8,5.7,4.06,5.7,11.71,Walking
20,0.15,0.11,0.07,0.13,0.13,0.12,0.06,0.11,0.08,0.0,0.11,0.08,0.1,0.1,0.09,0.12,0.1,0.1,0.11,0.0,0.08,0.08,0.12,0.12,0.08,0.06,0.12,0.11,0.12,0.0,9.62,0.34,4.56,3.6,3.0,5.77,4.4,5.77,11.59,Walking
20,0.12,0.15,0.07,0.13,0.13,0.07,0.12,0.09,0.09,0.0,0.1,0.09,0.08,0.07,0.1,0.13,0.09,0.14,0.09,0.0,0.09,0.09,0.08,0.1,0.11,0.11,0.13,0.09,0.11,0.0,9.87,0.32,4.55,3.51,2.9,5.82,4.29,5.82,11.8,Walking
20,0.06,0.07,0.12,0.06,0.06,0.04,0.04,0.03,0.05,0.0,0.04,0.07,0.05,0.04,0.06,0.04,0.08,0.08,0.06,0.0,0.05,0.05,0.05,0.06,0.04,0.05,0.07,0.06,0.07,0.0,5.5,0.24,2.25,2.77,1.67,5.55,6.11,5.55,6.5,Walking
20,0.04,0.12,0.11,0.07,0.14,0.12,0.1,0.1,0.17,0.05,0.07,0.09,0.11,0.11,0.05,0.16,0.14,0.14,0.08,0.0,0.07,0.09,0.07,0.12,0.1,0.13,0.1,0.14,0.08,0.12,8.18,0.52,10.31,7.26,4.13,11.93,8.14,11.93,16.08,Jogging
20,0.1,0.11,0.12,0.07,0.16,0.07,0.11,0.1,0.06,0.08,0.1,0.1,0.11,0.14,0.09,0.13,0.09,0.07,0.08,0.0,0.06,0.08,0.09,0.14,0.1,0.14,0.14,0.12,0.11,0.05,6.76,-0.29,10.23,7.4,3.23,11.94,8.51,11.94,15.12,Jogging
20,0.1,0.14,0.06,0.07,0.15,0.1,0.15,0.12,0.05,0.04,0.18,0.11,0.1,0.1,0.03,0.11,0.14,0.09,0.03,0.0,0.11,0.09,0.09,0.05,0.11,0.08,0.12,0.15,0.11,0.1,6.45,0.03,10.61,7.83,3.89,11.96,8.7,11.96,15.52,Jogging
